,108.956
1361,109.032
1362,109.134
1363,108.563
1364,109.091
1365,109.185
1366,109.133
1367,109.157
1368,109.029
1369,109.062
1370,109.014
1371,109.09
1372,109.123
1373,109.033
1374,108.99
1375,109.125
1376,109.166
1377,109.078
1378,109.099
1379,109.113
1380,109.093
1381,109.032
1382,109.028
1383,109.014
1384,109.127
1385,109.133
1386,109.096
1387,109.136
1388,109.057
1389,108.979
1390,109.118
1391,109.2
1392,109.14
1393,109.118
1394,109.147
1395,109.096
1396,109.121
1397,109.01
1398,108.981
1399,109.099
1400,109.085
1401,108.949
1402,109.112
1403,109.118
1404,109.119
1405,109.089
1406,109.166
1407,109.098
1408,109.121
1409,109.109
1410,109.059
1411,109.105
1412,109.154
1413,109.12
1414,109.125
1415,109.118
1416,109.102
1417,109.031
1418,109.086
1419,109.098
1420,109.146
1421,109.099
1422,109.065
1423,109.192
1424,109.154
1425,109.182
1426,109.131
1427,109.166
1428,109.16
1429,109.007
1430,109.092
1431,109.168
1432,109.139
1433,109.106
1434,109.164
1435,109.115
1436,109.059
1437,109.15
1438,109.175
1439,109.047
1440,109.096
1441,109.046
1442,109.111
1443,109.117
1444,109.105
1445,109.101
1446,109.075
1447,109.199
1448,109.076
1449,109.152
1450,109.125
1451,109.106
1452,109.16
1453,109.11
1454,109.006
1455,109.034
1456,109.105
1457,109.032
1458,109.041
1459,109.067
1460,109.119
1461,109.036
1462,109.114
1463,109.157
1464,109.088
1465,109.056
1466,109.058
1467,109.181
1468,109.062
1469,109.114
1470,109.041
1471,109.202
1472,109.035
1473,109.055
1474,109.062
1475,109.03
1476,109.145
1477,109.149
1478,109.059
1479,109.041
1480,109.168
1481,109.042
1482,108.941
1483,109.087
1484,109.082
1485,109.019
1486,109.098
1487,108.977
1488,109.096
1489,109.075
1490,109.098
1491,109.194
1492,109.162
1493,109.084
1494,109.0
1495,109.018
1496,109.083
1497,109.078
1498,109.043
1499,109.057
1500,108.965
1501,109.037
1502,109.15
1503,109.087
1504,109.041
1505,109.119
1506,109.101
1507,109.107
1508,109.131
1509,109.137
1510,109.043
1511,109.13
1512,108.895
1513,109.065
1514,109.033
1515,109.098
1516,109.154
1517,109.029
1518,109.061
1519,109.053
1520,109.005
1521,109.043
1522,109.041
1523,109.129
1524,109.041
1525,109.133
1526,108.854
1527,109.125
1528,109.054
1529,109.127
1530,109.118
1531,108.873
1532,109.122
1533,109.086
1534,109.038
1535,108.975
1536,109.103
1537,109.099
1538,109.022
1539,109.171
1540,109.16
1541,109.167
1542,109.056
1543,109.165
1544,109.187
1545,109.108
1546,108.962
1547,109.184
1548,108.99
1549,109.069
1550,109.039
1551,108.801
1552,109.024
1553,109.037
1554,109.137
1555,109.084
1556,109.085
1557,109.013
1558,109.166
1559,109.06
1560,109.081
1561,109.086
1562,109.059
1563,109.059
1564,109.11
1565,109.093
1566,109.103
1567,109.017
1568,109.224
1569,109.101
1571,109.121
1572,109.068
1573,109.077
1574,109.116
1575,109.064
1576,109.132
1577,109.1
1578,109.054
1579,109.166
1580,109.004
1581,109.082
1582,109.065
1583,108.987
1584,109.112
1585,108.971
1586,109.106
1587,109.05
1588,109.114
1589,109.139
1590,109.119
1591,109.045
1592,109.073
1593,109.17
1594,109.146
1595,109.185
1596,109.182
1597,109.081
1598,109.085
1599,109.056
1600,108.947
1601,109.069
1602,109.083
1603,109.126
1604,109.05
1605,109.132
1606,109.123
1607,109.098
1608,109.047
1609,108.997
1610,102.823
1611,108.961
1612,109.158
1613,109.01
1614,109.157
1615,109.002
1616,109.057
1617,109.127
1618,109.089
